city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Niedergösgen,47.3736,7.9931,Switzerland,CH,Solothurn,,3865,3865
Niederglatt,47.4922,8.5033,Switzerland,CH,Zürich,,4917,4917
Niederhasli,47.4822,8.4861,Switzerland,CH,Zürich,,9188,9188
Niederhelfenschwil,47.4833,9.1831,Switzerland,CH,Sankt Gallen,,3149,3149
Niederlenz,47.4025,8.1764,Switzerland,CH,Aargau,,4776,4776
Niederrohrdorf,47.4235,8.3049,Switzerland,CH,Aargau,,4105,4105
Niederweningen,47.5075,8.3789,Switzerland,CH,Zürich,,3024,3024
Niederwil,47.3803,8.2972,Switzerland,CH,Aargau,,2830,2830
Nottwil,47.1347,8.1369,Switzerland,CH,Luzern,,3857,3857
Novazzano,45.8500,8.9833,Switzerland,CH,Ticino,,2380,2380
Noville,46.3833,6.9000,Switzerland,CH,Vaud,,1118,1118
Nunningen,47.3942,7.6194,Switzerland,CH,Solothurn,,1880,1880
Nyon,46.3820,6.2389,Switzerland,CH,Vaud,,20272,20272
Oberbüren,47.4500,9.1664,Switzerland,CH,Sankt Gallen,,4447,4447
Oberbipp,47.2614,7.6592,Switzerland,CH,Bern,,1767,1767
Oberbuchsiten,47.3108,7.7667,Switzerland,CH,Solothurn,,2296,2296
Oberburg,47.0389,7.6275,Switzerland,CH,Bern,,2934,2934
Oberdorf,46.9525,8.3819,Switzerland,CH,Nidwalden,,3121,3121
Oberdorf,47.2319,7.5042,Switzerland,CH,Solothurn,,1723,1723
Oberdorf,47.3919,7.7514,Switzerland,CH,Basel-Landschaft,,2434,2434
Oberegg,47.4222,9.5533,Switzerland,CH,Appenzell Innerrhoden,,1916,1916
Oberembrach,47.4875,8.6183,Switzerland,CH,Zürich,,1073,1073
Oberengstringen,47.4103,8.4633,Switzerland,CH,Zürich,,6569,6569
Oberentfelden,47.3597,8.0486,Switzerland,CH,Aargau,,8360,8360
Obererli,47.1358,8.6136,Switzerland,CH,Schwyz,,6080,6080
Obergösgen,47.3664,7.9528,Switzerland,CH,Solothurn,,2203,2203
Obergerlafingen,47.1611,7.5833,Switzerland,CH,Solothurn,,1176,1176
Oberglatt,47.4775,8.5200,Switzerland,CH,Zürich,,6964,6964
Oberhelfenschwil,47.3497,9.1000,Switzerland,CH,Sankt Gallen,,1261,1261
Oberkirch,47.1564,8.1158,Switzerland,CH,Luzern,,4707,4707
Oberkulm,47.3000,8.1236,Switzerland,CH,Aargau,,2718,2718
Oberlunkhofen,47.3125,8.3977,Switzerland,CH,Aargau,,2037,2037
Obermumpf,47.5317,7.9375,Switzerland,CH,Aargau,,1074,1074
Oberrüti,47.1661,8.3948,Switzerland,CH,Aargau,,1534,1534
Oberrieden,47.2778,8.5781,Switzerland,CH,Zürich,,5083,5083
Oberriet,47.3164,9.5664,Switzerland,CH,Sankt Gallen,,8878,8878
Oberrohrdorf,47.4219,8.3167,Switzerland,CH,Aargau,,4072,4072
Obersiggenthal,47.4869,8.2921,Switzerland,CH,Aargau,,8565,8565
Oberstammheim,47.6339,8.7994,Switzerland,CH,Zürich,,1196,1196
Oberuzwil,47.4294,9.1236,Switzerland,CH,Sankt Gallen,,6412,6412
Oberweningen,47.5033,8.4078,Switzerland,CH,Zürich,,1797,1797
Oberwil,47.5135,7.5546,Switzerland,CH,Basel-Landschaft,,11136,11136
Obfelden,47.2639,8.4242,Switzerland,CH,Zürich,,5340,5340
Oensingen,47.2886,7.7139,Switzerland,CH,Solothurn,,6284,6284
Oeschgen,47.5219,8.0181,Switzerland,CH,Aargau,,1026,1026
Oetwil am See,47.2708,8.7211,Switzerland,CH,Zürich,,4754,4754
Oetwil an der Limmat,47.4308,8.3942,Switzerland,CH,Zürich,,2464,2464
Oftringen,47.3150,7.9236,Switzerland,CH,Aargau,,13791,13791
Ollon,46.2973,6.9935,Switzerland,CH,Vaud,,7497,7497
Olten,47.3531,7.9078,Switzerland,CH,Solothurn,,17133,17133
Onex,46.1833,6.1000,Switzerland,CH,Genève,,18977,18977
Opfikon,47.4331,8.5719,Switzerland,CH,Zürich,,19864,19864
Orbe,46.7245,6.5322,Switzerland,CH,Vaud,,6987,6987
Origlio,46.0500,8.9500,Switzerland,CH,Ticino,,1457,1457
Ormalingen,47.4706,7.8764,Switzerland,CH,Basel-Landschaft,,2215,2215
Orpund,47.1389,7.3064,Switzerland,CH,Bern,,2799,2799
Orsières,45.9723,7.1016,Switzerland,CH,Valais,,3183,3183
Orvin,47.1606,7.2139,Switzerland,CH,Bern,,1222,1222
Ossingen,47.6128,8.7269,Switzerland,CH,Zürich,,1566,1566
Ostermundigen,46.9553,7.4833,Switzerland,CH,Bern,,17546,17546
Otelfingen,47.4608,8.3911,Switzerland,CH,Zürich,,2831,2831
Othmarsingen,47.4012,8.2153,Switzerland,CH,Aargau,,2897,2897
Ottenbach,47.2814,8.4039,Switzerland,CH,Zürich,,2556,2556
Pampigny,46.5802,6.4266,Switzerland,CH,Vaud,,1114,1114
Paradiso,45.9833,8.9500,Switzerland,CH,Ticino,,4144,4144
Paudex,46.5084,6.6737,Switzerland,CH,Vaud,,1504,1504
Payerne,46.8167,6.9333,Switzerland,CH,Vaud,,9943,9943
Penthalaz,46.6128,6.5291,Switzerland,CH,Vaud,,3283,3283
Penthaz,46.6000,6.5333,Switzerland,CH,Vaud,,1749,1749
Perroy,46.4667,6.3667,Switzerland,CH,Vaud,,1536,1536
Peseux,46.9955,6.8895,Switzerland,CH,Neuchâtel,,5809,5809
Pfäfers,46.9831,9.4997,Switzerland,CH,Sankt Gallen,,1564,1564
Pfäffikon,47.3667,8.7822,Switzerland,CH,Zürich,minor,11817,11817
Pfaffnau,47.2278,7.8994,Switzerland,CH,Luzern,,2678,2678
Pfeffingen,47.4600,7.5906,Switzerland,CH,Basel-Landschaft,,2336,2336
Pfungen,47.5156,8.6469,Switzerland,CH,Zürich,,3845,3845
Pfyn,47.6022,8.9527,Switzerland,CH,Thurgau,,2016,2016
Plaffeien,46.7412,7.2871,Switzerland,CH,Fribourg,,3594,3594
Plan-les-Ouates,46.1667,6.1167,Switzerland,CH,Genève,,10656,10656
Plasselb,46.7333,7.2500,Switzerland,CH,Fribourg,,1048,1048
Ponte Capriasca,46.0667,8.9500,Switzerland,CH,Ticino,,1904,1904
Pont-en-Ogoz,46.6833,7.0833,Switzerland,CH,Fribourg,,1824,1824
Pontresina,46.4997,9.8997,Switzerland,CH,Graubünden,,2162,2162
Porrentruy,47.4167,7.0833,Switzerland,CH,Jura,,6675,6675
Port,47.1167,7.2500,Switzerland,CH,Bern,,3695,3695
Porza,46.0167,8.9500,Switzerland,CH,Ticino,,1579,1579
Poschiavo,46.3333,10.0497,Switzerland,CH,Graubünden,,3516,3516
Préverenges,46.5167,6.5333,Switzerland,CH,Vaud,,5287,5287
Prangins,46.4000,6.2500,Switzerland,CH,Vaud,,4038,4038
Pratteln,47.5185,7.6928,Switzerland,CH,Basel-Landschaft,,16621,16621
Prilly,46.5333,6.6000,Switzerland,CH,Vaud,,12399,12399
Puidoux,46.4833,6.7667,Switzerland,CH,Vaud,,2878,2878
Pully,46.5167,6.6667,Switzerland,CH,Vaud,,18313,18313
Puplinge,46.2108,6.2322,Switzerland,CH,Genève,,2465,2465
Pura,45.9832,8.8655,Switzerland,CH,Ticino,,1341,1341
Quarten,47.0997,9.2333,Switzerland,CH,Sankt Gallen,,2937,2937
Quinto,46.5167,8.7000,Switzerland,CH,Ticino,,1026,1026
Römerswil,47.1694,8.2447,Switzerland,CH,Luzern,,1769,1769
Röschenz,47.4248,7.4759,Switzerland,CH,Basel-Landschaft,,1863,1863
Rüderswil,46.9844,7.7239,Switzerland,CH,Bern,,2383,2383
Rüeggisberg,46.8218,7.4394,Switzerland,CH,Bern,,1791,1791
Rüegsbach,47.0164,7.6831,Switzerland,CH,Bern,,3258,3258
Rümlang,47.4533,8.5331,Switzerland,CH,Zürich,,7929,7929
Rüschegg,46.7797,7.3931,Switzerland,CH,Bern,,1661,1661
Rüschlikon,47.3081,8.5542,Switzerland,CH,Zürich,,5830,5830
Rüthi,47.2958,9.5373,Switzerland,CH,Sankt Gallen,,2399,2399
Rüti,47.2614,8.8556,Switzerland,CH,Zürich,,12098,12098
Rüti,47.3206,9.4300,Switzerland,CH,Appenzell Innerrhoden,,3648,3648
Rüttenen,47.2303,7.5297,Switzerland,CH,Solothurn,,1462,1462
Radelfingen,46.9998,7.2683,Switzerland,CH,Bern,,1283,1283
Rafz,47.6122,8.5408,Switzerland,CH,Zürich,,4462,4462
Rain,47.1308,8.2575,Switzerland,CH,Luzern,,2770,2770
Ramsen,47.6997,8.7997,Switzerland,CH,Schaffhausen,,1469,1469
Rapperswil,47.0631,7.4100,Switzerland,CH,Bern,,2617,2617
Rapperswil-Jona,47.2286,8.8317,Switzerland,CH,Sankt Gallen,minor,26989,26989
Raron,46.3100,7.8000,Switzerland,CH,Valais,,1944,1944
Rebstein,47.3997,9.5833,Switzerland,CH,Sankt Gallen,,4387,4387
Recherswil,47.1636,7.5944,Switzerland,CH,Solothurn,,2009,2009
Rechthalten,46.7634,7.2460,Switzerland,CH,Fribourg,,1103,1103
Reconvilier,47.2361,7.2222,Switzerland,CH,Bern,,2317,2317
Regensdorf,47.4383,8.4744,Switzerland,CH,Zürich,,18253,18253
Rehetobel,47.4278,9.4816,Switzerland,CH,Appenzell Ausserrhoden,,1747,1747
Reichenbach im Kandertal,46.5753,7.7371,Switzerland,CH,Bern,,3616,3616
Reichenburg,47.1694,8.9744,Switzerland,CH,Schwyz,,3751,3751
Reiden,47.2431,7.9683,Switzerland,CH,Luzern,,7131,7131
Reigoldswil,47.3983,7.6914,Switzerland,CH,Basel-Landschaft,,1582,1582
Reinach,47.2539,8.1833,Switzerland,CH,Aargau,,8498,8498
Reinach,47.4936,7.5908,Switzerland,CH,Basel-Landschaft,,19144,19144
Reitnau,47.2525,8.0444,Switzerland,CH,Aargau,,1243,1243
Remaufens,46.5167,6.8667,Switzerland,CH,Fribourg,,1139,1139
Remetschwil,47.4108,8.3319,Switzerland,CH,Aargau,,1991,1991
Remigen,47.5164,8.1875,Switzerland,CH,Aargau,,1135,1135
Renens,46.5353,6.5897,Switzerland,CH,Vaud,minor,20927,20927
Rhäzüns,46.7997,9.3997,Switzerland,CH,Graubünden,,1496,1496
Rheinau,47.6458,8.6067,Switzerland,CH,Zürich,,1298,1298
Rheineck,47.4701,9.5834,Switzerland,CH,Sankt Gallen,,3419,3419
Rheinfelden,47.5539,7.7958,Switzerland,CH,Aargau,minor,13337,13337
Riaz,46.6333,7.0667,Switzerland,CH,Fribourg,,2780,2780
Richterswil,47.2081,8.7058,Switzerland,CH,Zürich,,13407,13407
Rickenbach bei Wil,47.4497,9.0497,Switzerland,CH,Thurgau,,2774,2774
Rickenbach,47.2194,8.1536,Switzerland,CH,Luzern,,3364,3364
Rickenbach,47.3414,7.8583,Switzerland,CH,Solothurn,,1012,1012
Rickenbach,47.5525,8.7958,Switzerland,CH,Zürich,,2655,2655
Ried bei Kerzers,46.9633,7.1810,Switzerland,CH,Fribourg,,1183,1183
Riedholz,47.2300,7.5681,Switzerland,CH,Solothurn,,2310,2310
Riehen,47.5794,7.6512,Switzerland,CH,Basel-Stadt,,21448,21448
Rifferswil,47.2331,8.4667,Switzerland,CH,Zürich,,1096,1096
Riggisberg,46.8094,7.4781,Switzerland,CH,Bern,,2553,2553
Ringgenberg,46.7029,7.8951,Switzerland,CH,Bern,,2561,2561
Riniken,47.4956,8.1875,Switzerland,CH,Aargau,,1452,1452
Riva San Vitale,45.9000,8.9667,Switzerland,CH,Ticino,,2646,2646
Roche,46.3500,6.9167,Switzerland,CH,Vaud,,1647,1647
Rochefort,46.9833,6.8167,Switzerland,CH,Neuchâtel,,1239,1239
Rodersdorf,47.4806,7.4569,Switzerland,CH,Solothurn,,1310,1310
Roggwil,47.2417,7.8236,Switzerland,CH,Bern,,4079,4079
Roggwil,47.4994,9.3950,Switzerland,CH,Thurgau,,3068,3068
Rohrbach,47.1372,7.8139,Switzerland,CH,Bern,,1480,1480
Rolle,46.4575,6.3317,Switzerland,CH,Vaud,,6259,6259
Romanel-sur-Lausanne,46.5667,6.6000,Switzerland,CH,Vaud,,3309,3309
Romanshorn,47.5635,9.3564,Switzerland,CH,Thurgau,,11167,11167
Romont,46.7001,6.9181,Switzerland,CH,Fribourg,,5276,5276
Root,47.1158,8.3914,Switzerland,CH,Luzern,,5040,5040
Rorbas,47.5341,8.5684,Switzerland,CH,Zürich,,2837,2837
Rorschach,47.4786,9.4936,Switzerland,CH,Sankt Gallen,minor,9439,9439
Rorschacherberg,47.4664,9.5000,Switzerland,CH,Sankt Gallen,,7285,7285
Rothenburg,47.0939,8.2717,Switzerland,CH,Luzern,,7571,7571
Rothenthurm,47.1042,8.6744,Switzerland,CH,Schwyz,,2412,2412
Rothrist,47.3028,7.8833,Switzerland,CH,Aargau,,9121,9121
Roveredo,46.2348,9.1257,Switzerland,CH,Graubünden,,2520,2520
Rue,46.6167,6.8167,Switzerland,CH,Fribourg,,1526,1526
Rupperswil,47.4025,8.1278,Switzerland,CH,Aargau,,5486,5486
Russikon,47.3953,8.7778,Switzerland,CH,Zürich,,4355,4355
Ruswil,47.0836,8.1261,Switzerland,CH,Luzern,,6856,6856
Saanen,46.4831,7.2664,Switzerland,CH,Bern,,6817,6817
Saas-Fee,46.1097,7.9292,Switzerland,CH,Valais,,1597,1597
Sachseln,46.8678,8.2386,Switzerland,CH,Obwalden,,5146,5146
Safenwil,47.3192,7.9833,Switzerland,CH,Aargau,,3842,3842
Saignelégier,47.2500,7.0000,Switzerland,CH,Jura,,2608,2608
Saillon,46.1667,7.1833,Switzerland,CH,Valais,,2618,2618
Saint George,46.5167,6.2667,Switzerland,CH,Vaud,,1032,1032
Saint Légier-La Chiésaz,46.4667,6.8833,Switzerland,CH,Vaud,,5184,5184
Saint Martin,46.5833,6.8667,Switzerland,CH,Fribourg,,1005,1005
Saint Moritz,46.4972,9.8378,Switzerland,CH,Graubünden,,4994,4994
Saint-Aubin,46.8900,6.9806,Switzerland,CH,Fribourg,,1801,1801
Saint-Aubin-Sauges,46.8949,6.7773,Switzerland,CH,Neuchâtel,,2399,2399
Saint-Blaise,47.0131,6.9864,Switzerland,CH,Neuchâtel,,3211,3211
Saint-Cergue,46.4500,6.1500,Switzerland,CH,Vaud,,2575,2575
Sainte-Croix,46.8237,6.4889,Switzerland,CH,Vaud,,4863,4863
Saint-Léonard,46.2566,7.4269,Switzerland,CH,Valais,,2442,2442
Saint-Maurice,46.2190,7.0047,Switzerland,CH,Valais,minor,4571,4571
Saint-Prex,46.4836,6.4575,Switzerland,CH,Vaud,,5679,5679
Saint-Sulpice,46.5167,6.5667,Switzerland,CH,Vaud,,4668,4668
Salenstein,47.6736,9.0497,Switzerland,CH,Thurgau,,1323,1323
Salgesch,46.3000,7.5667,Switzerland,CH,Valais,,1547,1547
Salmsach,47.5497,9.3664,Switzerland,CH,Thurgau,,1457,1457
Salvan,46.1167,7.0167,Switzerland,CH,Valais,,1393,1393
Samedan,46.5336,9.8719,Switzerland,CH,Graubünden,,2924,2924
Sankt Antoni,46.8167,7.2667,Switzerland,CH,Fribourg,,2076,2076
Sankt Gallen,47.4233,9.3772,Switzerland,CH,Sankt Gallen,admin,75833,75833
Sankt Margrethen,47.4497,9.6331,Switzerland,CH,Appenzell Ausserrhoden,,5886,5886
Sankt Niklaus,46.1833,7.8000,Switzerland,CH,Valais,,2239,2239
Sankt Stephan,46.5000,7.3831,Switzerland,CH,Bern,,1339,1339
Sankt Ursen,46.7869,7.2243,Switzerland,CH,Fribourg,,1345,1345
Sant’ Antonino,46.1500,8.9833,Switzerland,CH,Ticino,,2525,2525
Sarmenstorf,47.3122,8.2500,Switzerland,CH,Aargau,,2902,2902
Sarnen,46.8969,8.2469,Switzerland,CH,Obwalden,admin,10368,10368
Satigny,46.2141,6.0368,Switzerland,CH,Genève,,4185,4185
Sattel,47.0808,8.6339,Switzerland,CH,Schwyz,,1938,1938
Savièse,46.2500,7.3333,Switzerland,CH,Valais,,7712,7712
Savigny,46.5667,6.7167,Switzerland,CH,Vaud,,3357,3357
Savosa,46.0167,8.9500,Switzerland,CH,Ticino,,2213,2213
Saxon,46.1500,7.1667,Switzerland,CH,Valais,,5897,5897
Schänis,47.1588,9.0466,Switzerland,CH,Sankt Gallen,,3818,3818
Schöfflisdorf,47.5008,8.4169,Switzerland,CH,Zürich,,1398,1398
Schöftland,47.3053,8.0528,Switzerland,CH,Aargau,,4393,4393
Schönenberg,47.1939,8.6447,Switzerland,CH,Zürich,,1844,1844
Schönenbuch,47.5369,7.5008,Switzerland,CH,Basel-Landschaft,,1385,1385
Schönenwerd,47.3719,8.0028,Switzerland,CH,Solothurn,,4910,4910
Schötz,47.1711,7.9894,Switzerland,CH,Luzern,,4434,4434
Schübelbach,47.1733,8.9264,Switzerland,CH,Schwyz,,9249,9249
Schüpfen,47.0358,7.3747,Switzerland,CH,Bern,,3732,3732
Schüpfheim,46.9500,8.0150,Switzerland,CH,Luzern,minor,4219,4219
Schaffhausen,47.6965,8.6339,Switzerland,CH,Schaffhausen,admin,36587,36587
Schafisheim,47.3789,8.1431,Switzerland,CH,Aargau,,2997,2997
Schattdorf,46.8494,8.6713,Switzerland,CH,Uri,,5418,5418
Schenkon,47.1736,8.1369,Switzerland,CH,Luzern,,2939,2939
Schiers,46.9664,9.6833,Switzerland,CH,Graubünden,,2679,2679
Schinznach Bad,47.4497,8.1694,Switzerland,CH,Aargau,,1347,1347
Schinznach Dorf,47.4486,8.1445,Switzerland,CH,Aargau,,2255,2255
Schlatterlehn,47.3567,9.3961,Switzerland,CH,Appenzell Ausserrhoden,,1126,1126
Schleitheim,47.7493,8.4851,Switzerland,CH,Schaffhausen,,1681,1681
Schlieren,47.3989,8.4497,Switzerland,CH,Zürich,,18666,18666
Schmerikon,47.2253,8.9500,Switzerland,CH,Sankt Gallen,,3709,3709
Schmiedrued,47.2639,8.1125,Switzerland,CH,Aargau,,1168,1168
Schneisingen,47.5192,8.3667,Switzerland,CH,Aargau,,1462,1462
Schnottwil,47.1088,7.3912,Switzerland,CH,Solothurn,,1135,1135
Schongau,47.2672,8.2581,Switzerland,CH,Luzern,,1044,1044
Schwarzenberg,47.0142,8.1733,Switzerland,CH,Luzern,,1709,1709
Schwarzenburg,46.8167,7.3333,Switzerland,CH,Bern,,6829,6829
Schwellbrunn,47.3523,9.2490,Switzerland,CH,Appenzell Ausserrhoden,,1573,1573
Schwerzenbach,47.3818,8.6559,Switzerland,CH,Zürich,,5088,5088
Schwyz,47.0211,8.6536,Switzerland,CH,Schwyz,admin,14177,14177
Scuol,46.7970,10.2995,Switzerland,CH,Graubünden,,4591,4591
Seeberg,47.1550,7.6647,Switzerland,CH,Bern,,1560,1560
Seedorf,46.8828,8.6131,Switzerland,CH,Uri,,1858,1858
Seedorf,47.0347,7.3125,Switzerland,CH,Bern,,3114,3114
Seegräben,47.3433,8.7719,Switzerland,CH,Zürich,,1426,1426
Seengen,47.3275,8.2083,Switzerland,CH,Aargau,,3994,3994
Seewen,47.4358,7.6597,Switzerland,CH,Solothurn,,1010,1010
Seewis im Prätigau,46.9903,9.6375,Switzerland,CH,Graubünden,,1342,1342
Seftigen,46.7867,7.5408,Switzerland,CH,Bern,,2143,2143
Seltisberg,47.4594,7.7172,Switzerland,CH,Basel-Landschaft,,1301,1301
Selzach,47.2056,7.4556,Switzerland,CH,Solothurn,,3453,3453
Sembrancher,46.0780,7.1512,Switzerland,CH,Valais,,1042,1042
